Neighbourhood,Latitude,Longitude
South San Diego,32.58378000000005,-117.09651999999994
"Southcrest, San Diego",32.69190000000003,-117.11240999999995
Southeast San Diego,32.67887062059529,-117.10987682686597
"Stingaree, San Diego",32.71568000000008,-117.16170999999997
"Stockton, San Diego",32.71176000000003,-117.12247999999994
"Sunset Cliffs, San Diego",32.728500000000054,-117.25001999999995
"Swan Canyon, San Diego",32.738050000000044,-117.09782999999999
"Talmadge, San Diego",32.76240000000007,-117.08943999999997
"Tierrasanta, San Diego",32.834700000000055,-117.07992999999999
"Tijuana River Valley, San Diego",32.544800000000066,-117.07252999999997
"Torrey Highlands, San Diego",32.966860000000054,-117.15419999999995
"Torrey Hills, San Diego",32.964510807248246,-117.23247520341013
"Torrey Pines, San Diego",32.856217053881586,-117.245580120597
"Tri-City, San Diego County, California",32.785445525148994,-117.07970600783452
"University City, San Diego",32.851440000000025,-117.21638999999999
"University Heights, San Diego",32.759070000000065,-117.14815999999996
"Valencia Park, San Diego",32.69882000000007,-117.07815999999997
Village of La Jolla,32.86162000000007,-117.23321999999996
"Webster, San Diego",32.7044629858126,-117.1185198734712
"Wooded Area, San Diego",32.71452000000005,-117.24454999999995
